Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Afghanistan,14,5228706,12.0,9.4
Albania,74,2111797,38.0,34.0
Algeria,28,12145830,16.0,12.0
Angola,31,9847459,21.0,9.7
Argentina,155,69596446,82.0,67.0
Armenia,42,1236264,27.0,15.0
Aruba,152,161913,79.0,74.0
Australia,156,39572839,79.0,75.0
Austria,161,14327412,72.0,68.0
Azerbaijan,106,10639817,51.0,46.0
Bahamas,72,280176,39.0,35.0
Bahrain,180,2960243,72.0,71.0
Bangladesh,61,99871848,38.0,23.0
Barbados,101,290658,54.0,48.0
Belarus,67,6331049,38.0,29.0
Belgium,149,17130672,77.0,76.0
Belize,106,412002,59.0,50.0
Benin,3,383501,2.9,2.5
Bhutan,151,1153555,77.0,74.0
Bolivia,75,8691198,44.0,36.0
Bosnia and Herzegovina,47,1553874,25.0,22.0
Botswana,62,1430084,40.0,22.0
Brazil,149,313665030,78.0,65.0
Brunei,174,754293,93.0,81.0
Bulgaria,49,3390634,26.0,26.0
Burkina Faso,3,661796,1.8,1.5
Burundi,0,1711,0.1,0.1
Cambodia,175,28843614,86.0,81.0
Cameroon,3,953375,3.0,2.3
Canada,164,61813194,82.0,77.0
Cape Verde,99,544075,54.0,45.0
Central African Republic,8,422496,7.6,6.8
Chad,1,258618,1.2,0.5
Chile,218,41313356,89.0,85.0
Colombia,115,57886953,75.0,49.0
Comoros,61,523256,33.0,28.0
Congo,0,193416,0.2,0.1
Costa Rica,141,7137983,77.0,64.0
Croatia,103,4201709,54.0,48.0
Cuba,252,28541948,90.0,82.0
Curaçao,126,198229,65.0,60.0
Cyprus,112,1339063,52.0,49.0
Czech Republic,129,13793658,63.0,60.0
Denmark,170,9911854,79.0,77.0
Djibouti,11,104475,8.1,2.7
Dominican Rep.,129,13840602,64.0,52.0
Ecuador,146,25309620,79.0,66.0
Egypt,40,40644158,26.0,15.0
El Salvador,142,9179875,69.0,63.0
Equatorial Guinea,33,446624,18.0,15.0
Estonia,112,1486018,63.0,60.0
Eswatini,27,306445,24.0,23.0
Ethiopia,8,9767645,7.4,1.3
Fiji,139,1237108,73.0,66.0
Finland,151,8330115,78.0,73.0
France,160,107043866,78.0,71.0
French Polynesia,114,318790,58.0,56.0
Gabon,13,277979,7.7,5.1
Gambia,11,268008,10.0,9.5
Georgia,60,2224629,33.0,27.0
Germany,152,126621790,72.0,69.0
Ghana,11,3493688,8.7,2.8
Greece,136,14598248,66.0,62.0
Grenada,67,75154,36.0,31.0
Guatemala,61,10188787,36.0,25.0
Guinea,19,2459403,13.0,6.3
Guinea-Bissau,19,368395,18.0,1.0
Guyana,87,682779,51.0,36.0
Haiti,1,184769,1.0,0.6
Honduras,82,7960942,45.0,37.0
Hong Kong,128,9503197,64.0,61.0
Hungary,146,14282270,63.0,60.0
Iceland,184,665013,79.0,78.0
India,92,1261728028,58.0,34.0
Indonesia,89,240654588,52.0,36.0
Iran,126,104781077,69.0,56.0
Iraq,31,12268675,19.0,12.0
Ireland,169,8339577,78.0,77.0
Israel,179,16229484,70.0,64.0
Italy,162,97959273,79.0,73.0
Ivory Coast,15,3845788,10.0,4.6
Jamaica,38,1123483,23.0,18.0
Japan,156,197423151,79.0,77.0
Jordan,78,7912774,41.0,37.0
Kazakhstan,91,16901396,47.0,44.0
Kenya,14,7417276,9.2,5.5
Kiribati,70,82167,51.0,19.0
Kosovo,88,1621804,46.0,41.0
Kuwait,156,6578646,79.0,75.0
Kyrgyzstan,32,2051501,18.0,14.0
Laos,81,5830021,52.0,43.0
Latvia,116,2216145,67.0,63.0
Lebanon,53,3652035,28.0,25.0
Lesotho,29,617671,27.0,27.0
Liberia,12,589628,10.0,9.2
Libya,35,2377003,25.0,9.8
Lithuania,135,3764004,67.0,64.0
Luxembourg,148,917455,73.0,69.0
Macau,147,926474,77.0,70.0
Madagascar,2,685440,2.0,1.8
Mainland China,181,2532799000,88.0,79.0
Malawi,7,1450801,6.3,3.3
Malaysia,169,53875223,81.0,80.0
Maldives,146,772883,75.0,69.0
Mali,4,847067,3.6,1.6
Malta,192,965802,87.0,86.0
Mauritania,39,1759659,24.0,15.0
Mauritius,148,1875132,72.0,72.0
Mexico,104,133256228,61.0,51.0
Moldova,62,1641121,36.0,36.0
Mongolia,137,4414208,70.0,67.0
Montenegro,86,534238,44.0,41.0
Morocco,134,48851348,67.0,62.0
Mozambique,35,10503956,22.0,13.0
Myanmar,52,28100411,31.0,21.0
Namibia,27,674589,15.0,12.0
Nepal,64,18317508,35.0,29.0
Netherlands,142,24693092,76.0,73.0
New Caledonia,122,350362,63.0,59.0
New Zealand,157,7697472,80.0,75.0
Nicaragua,97,6376188,62.0,35.0
Niger,4,971636,2.2,2.0
Nigeria,5,10119982,3.2,1.8
North Macedonia,80,1675793,43.0,38.0
Norway,165,8799704,79.0,72.0
Oman,119,5934585,67.0,57.0
Pakistan,58,124760553,37.0,24.0
Panama,133,5633745,71.0,57.0
Papua New Guinea,5,467166,3.1,2.3
Paraguay,88,6216388,48.0,38.0
Peru,130,42111301,69.0,57.0
Philippines,83,90214170,37.0,35.0
Poland,112,42488461,55.0,54.0
Portugal,164,16833391,88.0,87.0
Qatar,177,5004650,83.0,78.0
Republic of the Congo,12,651411,9.7,2.4
Romania,77,14996944,40.0,39.0
Russia,89,128989824,47.0,40.0
Rwanda,75,9440343,47.0,27.0
Saint Lucia,56,101504,30.0,26.0
Saint Vincent and the Grenadines,50,55617,29.0,21.0
Samoa,126,248729,71.0,55.0
São Tomé and Príncipe,56,121357,39.0,18.0
Saudi Arabia,139,47536454,72.0,66.0
Senegal,12,1910830,8.1,5.7
Serbia,114,7940609,47.0,45.0
Sierra Leone,11,868726,9.0,4.6
Singapore,177,10083329,89.0,88.0
Slovakia,92,5001505,49.0,43.0
Slovenia,130,2711477,59.0,55.0
Solomon Islands,31,208046,24.0,6.9
Somalia,6,964433,3.8,3.7
South Africa,45,26109436,30.0,25.0
South Korea,166,85881055,82.0,80.0
South Sudan,2,218154,1.7,1.2
Spain,164,77157350,82.0,80.0
Sri Lanka,136,29692051,73.0,63.0
Sudan,3,1659666,2.7,1.4
Suriname,82,478967,44.0,38.0
Sweden,157,16097826,74.0,70.0
Switzerland,140,12045452,68.0,67.0
Syria,8,1422377,5.2,4.3
Taiwan,135,31998733,77.0,58.0
Tajikistan,60,5579193,32.0,27.0
Tanzania,1,1001610,1.5,1.7
Thailand,135,93753156,70.0,60.0
Timor-Leste,86,1112223,50.0,36.0
Togo,21,1665087,14.0,7.0
Tonga,113,118185,70.0,43.0
Trinidad and Tobago,93,1294251,46.0,46.0
Tunisia,91,10623089,53.0,44.0
Turkey,145,120788673,68.0,61.0
Turkmenistan,128,7580976,74.0,54.0
U.A.E.,221,21548528,99.0,90.0
U.K.,175,116945656,76.0,70.0
Uganda,11,4751422,8.7,2.1
Ukraine,57,25375687,31.0,26.0
United States,141,466348132,71.0,60.0
Uruguay,197,6825689,79.0,77.0
Uzbekistan,102,34182226,53.0,18.0
Vanuatu,43,129582,30.0,13.0
Venezuela,92,26314390,58.0,35.0
Vietnam,130,125857027,75.0,55.0
West Bank & Gaza,65,3024477,41.0,29.0
Yemen,2,774953,1.9,1.2
Zambia,6,1119123,4.5,4.0
Zimbabwe,46,6710095,26.0,20.0
